Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
M_bin_57342	0	658	576	296504	60544	2	168922	40828	0	28178	3682	10393	2	8744	77	181539	0	166017	31646	2	57770	14	0	19	0	115	44370	339530	248	0	2	262923	274	471	27933	0	17033	20	590	9	97139	48447	82857	269374	0	14013	2032	23571
F_bin_314711	0	29	4	188085	1918	0	3631	749	24	2026	9165	57	0	3123	3	5473	0	1327	14824	4	6906	0	0	9	0	4	1283	2115	120	0	6	4359	2	68	273	0	507	0	992	6	77976	2964	267156	1540	0	14357	15	152
M_bin_60518	4	30	14	518069	6198	0	3697	2104	18	1862	16118	129	0	8746	0	11494	0	149	28522	6	9341	0	0	16	0	0	1662	1682	228	0	2	6167	2	140	142	0	276	0	3419	8	107449	2960	368884	315	0	53685	6	16
M_bin_35289	1	14	200	7959	4560	0	42142	4002	183	41199	513	194	0	6155	8	22703	0	6450	14522	0	253351	10	13	81	0	270	1195	20130	1356	2	52	69892	54	12	50664	0	6869	2	810	0	80923	34940	11719	11020	0	486	2979	376
F_bin_241092	22	69	301	47738	2885	0	1695	207	40	71770	76	24	0	35539	0	9651	0	8443	32281	14	59870	2	0	2	0	2	2867	4156	165	0	23	26622	16	52	17088	12	168	0	19806	0	81732	28927	2769	3273	0	1003	1354	764
F_bin_55	2191	669	369	5922	8535	373	1650	205	34002	2287	324	1036	6	6494	0	109450	0	3414	2255	0	828	26	3437	378	0	212	33483	786	379446	107	1540	1259	0	66	410	0	378	0	184	26	16863	4422	94224	603776	0	338	10	223
M_bin_28975	3	206	2426	2016190	2416	5	21754	5557	27	12513	280	863	0	988	13	9222	0	512801	24766	10	84559	12	1	26	0	153	9360	15178	203	0	65	14305	10	6311	131468	0	5905	12	409	2	252860	23692	1679	16840	0	21145	70479	135326
F_bin_207931	15	65	183	1714061	3413	4	23590	4493	8	9470	13	79	2	1500	18	17592	0	11592	166	0	3711	4	0	24	4	24	3100	14861	30	0	18	16457	21	422	3590	0	7084	0	35	0	3002	12939	2249	4922	0	23201	398	1937
D_bin_60660	0	324	8753	36781	69031	0	241625	53025	2	139907	4329	1193	0	141244	232	342581	0	16932	4398	8	116537	20	0	13	0	1191	7128	176626	156	0	9	282949	253	283	190670	0	62948	2	14598	0	81682	317480	186591	153521	0	148	8382	2094
F_bin_8527	0	1521	55	28986	702	0	46469	3205	0	15503	68	42	0	26835	29	7838	0	232226	14	0	919	4	0	5	0	60	51550	2882	26	0	6	23796	28	270	45293	0	19899	0	213	0	2534	24269	34053	23777	0	21	330	15551
