Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
F_bin_191085	6624	119841	9258	69784	563955	0	555180	122175	81647	2605080	20479	34076	300	1139805	610	2062928	0	1041903	1109	300	294381	16746	1618	6778	504	14618	553196	185570	47252	0	89548	1815724	671	26258	1132104	5626	218169	0	16852	839	158380	2060129	2407527	2790715	0	555	47475	175450
D_bin_54794	318	187106	127859	2661807	2585555	0	2954125	2095305	6226	3191841	154825	83829	1065	2481306	22713	2985818	0	2904847	22099	362	2290782	3828	162	44418	901	138760	1090791	1831368	5077	343	7191	3039304	12176	62788	2701539	0	2674558	2070	69379	457	1796684	3189196	2860446	2844824	0	54814	245621	2041515
F_bin_111964	0	152180	26502	1777964	778806	0	1544776	449517	1787	2304749	46267	81997	312	1900518	857	2188524	0	2280088	7770	881	788007	64	366	8824	0	120576	1323911	254725	2539	0	1894	1864556	2452	87032	2270706	0	715110	617	44378	310	836460	2269090	2307440	2307338	0	47923	460922	1747413
F_bin_215398	0	2961	12622	854907	101403	0	376194	75070	299	2286327	10571	21717	661	1219083	853	433865	0	2210504	4963	0	361919	0	0	3067	0	31111	36206	228454	357	0	645	1497121	328	1113	916246	0	128527	0	20523	300	329471	2099828	2033826	2364086	0	11686	23935	606975
F_bin_257404	153	27325	16693	1875428	1337858	0	2339581	725965	259	2372495	28680	11218	300	1588012	4461	2365338	0	2186504	5284	0	514093	1480	0	925	149	3090	792635	1035753	334	0	648	2349072	8780	11301	2229587	0	2030179	300	11799	0	1054966	2170986	2370111	2220803	0	5601	94984	653238
F_bin_174518	79	3091	5211	1520004	232431	0	1973147	273075	1344	2199568	24454	5080	0	496615	2011	1589884	0	2628071	14460	253	209020	789	0	1656	0	4587	81004	1005054	235	0	866	2632796	6030	1824	2119808	0	832077	521	4205	0	1471766	1527468	2613470	1935892	0	3758	48069	1133428
F_bin_7203	0	37445	5833	1674070	574786	0	1900933	262365	733	2395813	21503	8669	0	980428	787	2361689	0	2713282	8845	0	229675	210	0	613	210	41881	1101260	716085	83	0	428	2565685	5507	15515	1954827	0	756046	0	9344	0	832295	1596732	2684366	2350896	0	4995	45005	1291945
F_bin_287985	0	555	9369	22814	11641	0	2890074	941110	0	2396701	811	541	0	26885	8429	48122	0	100096	10690	0	448667	806	0	405	0	360	11476	459470	164	0	117	2288114	2607	200	30004	0	2363991	0	0	0	964220	2150185	55482	27193	0	150	765	20578
F_bin_299554	220	12283	7701	900163	177598	146	1799024	344496	470	1828548	8089	1127	148	456076	1698	1153924	104	1963678	3269	153	309107	385	152	952	153	3057	141315	119640	312	144	393	816817	1176	4579	181976	271	591510	148	3868	156	387920	1530700	1819771	344322	0	2715	4527	974402
F_bin_131681	60	5771	588	392559	169754	0	1496045	186719	123	765257	1093	1054	0	87376	0	1227499	61	1263318	600	0	41498	75	0	213	60	123	129662	192723	199	0	61	1302112	1227	6236	1078135	56	377004	0	1168	0	93458	335423	496765	1049997	72	653	17447	177075
