"kegg","n_mags_human","n_mags_wild","n_mags_NA","absent_human","absent_wild","absent_NA","p_value","odds_ratio","conf_low","conf_high","log_or","log2_or","se_log_or","se_log2_or","p_adj","prop_g1","prop_g2","diff_prop","species","contrast","n_mags_domestic","absent_domestic","neg_log10_padj","sig","ko","pathway_map","pathway_name","class","category"
"K00571",6,5,0,35,37,0,0.756460162364968,0.790553060819645,0.173960663854311,3.42532130309575,-0.23502250147376,-0.339065797373513,0.760235039174769,1.09678732092747,1,0.119047619047619,0.146341463414634,0.0272938443670151,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00574",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00600",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00602",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00604",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00609",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00611",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00620",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00626",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00627",19,3,0,22,39,0,5.05503283078262e-05,0.0917873640205761,0.0156391663921764,0.36151800237891,-2.38828063766457,-3.44556063220981,0.801156480996671,1.15582448210995,0.00411985175708785,0.0714285714285714,0.463414634146341,0.39198606271777,"lactococcus_lactis","HumanvsWild",NA,NA,2.38511841072342,TRUE,"ko:K00627","path:map00010","Glycolysis / Gluconeogenesis","Metabolism; Carbohydrate metabolism","Metabolism"
