effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,1.8633624282636538,2.289875195867601,0.8137397320283442,0.41579406753159,citrobacter_braakii,K03076,1.8633624282636538,2.289875195867601,6.445372479381319,0.07245475683037182,573.3623051861802,0.6138762198749655
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K03205,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,2.023434841011961,2.227376481509328,0.9084386307432092,0.3636465235132751,citrobacter_braakii,K03427,2.023434841011961,2.227376481509328,7.564262401343285,0.09611373369619551,595.316230844131,0.5660380275500753
fixed,cond,host_type_2wild,-27583.826681269315,NA,NA,NA,citrobacter_braakii,K06904,-27583.826681269315,NA,0,NA,NA,NA
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K06909,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K07451,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K07486,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,1.8633624282636538,2.289875195867601,0.8137397320283442,0.41579406753159,citrobacter_braakii,K07497,1.8633624282636538,2.289875195867601,6.445372479381319,0.07245475683037182,573.3623051861802,0.6138762198749655
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K07729,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,2.023434841011961,2.227376481509328,0.9084386307432092,0.3636465235132751,citrobacter_braakii,K07741,2.023434841011961,2.227376481509328,7.564262401343285,0.09611373369619551,595.316230844131,0.5660380275500753
fixed,cond,host_type_2wild,-32.12651484593114,NA,NA,NA,citrobacter_braakii,K15773,-32.12651484593114,NA,1.1159169637907563e-14,NA,NA,NA
fixed,cond,host_type_2wild,-27583.826681269315,NA,NA,NA,citrobacter_braakii,K18234,-27583.826681269315,NA,0,NA,NA,NA
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K00571,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K02315,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,1950.0899009492723,NA,NA,NA,citrobacter_braakii,K06400,1950.0899009492723,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,2.023434841011961,2.227376481509328,0.9084386307432092,0.3636465235132751,citrobacter_braakii,K18831,2.023434841011961,2.227376481509328,7.564262401343285,0.09611373369619551,595.316230844131,0.5660380275500753
fixed,cond,host_type_2wild,2.023434841011961,2.227376481509328,0.9084386307432092,0.3636465235132751,citrobacter_braakii,K15342,2.023434841011961,2.227376481509328,7.564262401343285,0.09611373369619551,595.316230844131,0.5660380275500753
fixed,cond,host_type_2wild,159538.33273020905,NA,NA,NA,citrobacter_braakii,K19171,159538.33273020905,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,0.4874176589360225,0.461464003678142,1.0562419929853997,0.29085766998086615,citrobacter_braakii,K07493,0.4874176589360225,0.461464003678142,1.628106460607801,0.6589867912724565,4.02243365448113,0.49532197264068295
fixed,cond,host_type_2wild,-1.125022316886109,0.49725608932674176,-2.2624606134222094,0.023668959650200435,citrobacter_braakii,K07452,-1.125022316886109,0.49725608932674176,0.32464522220705555,0.12249999963627699,0.8603634335902243,0.08393940329555617
fixed,cond,host_type_2wild,1.4701886304083736,0.5264770244428971,2.792502924442116,0.005230199482693354,enterococcus_hirae,K00558,1.4701886304083736,0.5264770244428971,4.350055616444383,1.550060035094786,12.207903847415938,0.02685356152308229
fixed,cond,host_type_2wild,0.5682275249306007,0.5833154022789263,0.9741342723175498,0.3299898745482877,enterococcus_hirae,K01153,0.5682275249306007,0.5833154022789263,1.7651356181825402,0.562665107496002,5.53740352665959,0.5480706659025696
fixed,cond,host_type_2wild,1.6549949039944918,0.49295070550878883,3.357323329695457,7.870102097963806e-4,enterococcus_hirae,K01154,1.6549949039944918,0.49295070550878883,5.233053254441909,1.9913474520790135,13.751917745562,0.011995916181964928
fixed,cond,host_type_2wild,-0.5094380279153191,0.5074532683692562,-1.0039112164011499,0.31542140969548843,enterococcus_hirae,K02864,-0.5094380279153191,0.5074532683692562,0.6008331354043399,0.22222910296368154,1.6244517562526783,0.5291374718993145
fixed,cond,host_type_2wild,0.8553380224017241,0.8892868369385283,0.9618246744170004,0.3361376813109498,enterococcus_hirae,K02874,0.8553380224017241,0.8892868369385283,2.3521693321385255,0.41161609264984944,13.441409764704014,0.5512759600136389
fixed,cond,host_type_2wild,0.6460145820922574,0.9146720169696395,0.7062800327406326,0.48001400811938316,enterococcus_hirae,K02876,0.6460145820922574,0.9146720169696395,1.9079217909011812,0.3176698728378135,11.45895746322176,0.6631518827030836
fixed,cond,host_type_2wild,-0.3690528867399501,0.5153353734703005,-0.7161411883192202,0.47390417329493284,enterococcus_hirae,K02878,-0.3690528867399501,0.5153353734703005,0.691388844181375,0.2518025025595081,1.898386747548263,0.6593240866539163
