annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K00942,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00943,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00944,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00945,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00946,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00948,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00950,-5.211361693183399,-2.8665070792125498,0.1926776196078671,akkermansia_muciniphila
K00954,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00955,-12.952900276768101,2.0487031993632776,0.22621134206205604,akkermansia_muciniphila
K00956,-10.889008732764202,-3.0920704291484076,-3.3454035534454993,akkermansia_muciniphila
K00957,-10.047310077291254,-0.7122297369453561,-2.450986107646031,akkermansia_muciniphila
K00962,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00963,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00966,-7.112545139492326,0.839724832451666,0.7403480769342612,akkermansia_muciniphila
K00969,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00970,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00971,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00973,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00979,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00980,-12.995347263429979,1.2658970176749504,1.8242333991989157,akkermansia_muciniphila
K00981,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00989,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00991,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00995,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K00997,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01000,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01006,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01012,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01046,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01056,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01069,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01077,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01091,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01092,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01129,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01130,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01133,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01134,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01142,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01151,-5.624786357975174,0.32092406060065565,-3.467860464975025,akkermansia_muciniphila
