effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2domestic,0.6853396032024867,0.6637768751856363,1.0324849039232045,0.301845015973791,enterococcus_faecalis,K07455,0.6853396032024867,0.6637768751856363,1.9844456452129973,0.5402825302064356,7.288824455049762,0.5366133617311839
fixed,cond,host_type_2domestic,0.013651450753256914,1.2712585675086496,0.0107385319573581,0.9914320558161255,enterococcus_faecalis,K04095,0.013651450753256914,1.2712585675086496,1.0137450572770252,0.0839095923273149,12.24745601366795,0.999672712609212
fixed,cond,host_type_2domestic,0.1430417266000498,1.3080481263232788,0.10935509460352807,0.9129208493903904,enterococcus_faecalis,K18234,0.1430417266000498,1.3080481263232788,1.1537779438924087,0.0888564972505625,14.981499215063499,0.9883032583339499
fixed,cond,host_type_2domestic,-1.7175430526740871,0.8577427196483991,-2.0023988701158926,0.045241849909584145,enterococcus_faecalis,K18831,-1.7175430526740871,0.8577427196483991,0.17950664492215046,0.03341605575806142,0.9642860247931409,0.15856191206406633
fixed,cond,host_type_2domestic,-0.7994671418812224,0.6770484312026633,-1.1808123393198071,0.23767728108416686,enterococcus_faecalis,K22299,-0.7994671418812224,0.6770484312026633,0.4495684565058185,0.11925609170498529,1.6947712623771576,0.4651702433892624
fixed,cond,host_type_2domestic,-0.7538911741443585,0.7894609880014238,-0.9549441778660743,0.3396059271869198,enterococcus_faecalis,K03205,-0.7538911741443585,0.7894609880014238,0.4705320636971989,0.10013512945437146,2.2110164951454956,0.5839952392747032
fixed,cond,host_type_2domestic,0.7086006787828832,1.123002716184906,0.6309875021408317,0.528048696238866,enterococcus_faecalis,K06871,0.7086006787828832,1.123002716184906,2.0311470419735698,0.22481337960013215,18.35103548310146,0.7324896921559612
fixed,cond,host_type_2domestic,0.6125540080075889,0.832301219576037,0.7359763431797152,0.4617450948027408,enterococcus_faecalis,K07483,0.6125540080075889,0.832301219576037,1.8451378829523244,0.36104366136201227,9.429701090063226,0.6689850192417662
fixed,cond,host_type_2domestic,-0.5599818697335238,0.6748114609583715,-0.8298345569564483,0.4066323297493443,enterococcus_faecalis,K07497,-0.5599818697335238,0.6748114609583715,0.5712194201152367,0.15219200976189096,2.1439471522012266,0.6209157566297041
fixed,cond,host_type_2domestic,1.231969026956494,0.8075668499031718,1.5255319446361728,0.12712647208253972,enterococcus_faecalis,K00986,1.231969026956494,0.8075668499031718,3.4279726659944307,0.7040809111243667,16.689838359684362,0.32697733732376605
fixed,cond,host_type_2domestic,-1.4150412561861974,1.2270675435493814,-1.153189377084401,0.24883266275121965,enterococcus_faecalis,K06223,-1.4150412561861974,1.2270675435493814,0.24291559147113762,0.021925747637288186,2.6912644237234695,0.476929270273171
fixed,cond,host_type_2domestic,-1.1670309421514677,0.665848041505252,-1.7526986180108222,0.07965375306535653,enterococcus_faecalis,K06400,-1.1670309421514677,0.665848041505252,0.31128980801280803,0.08440799929439842,1.1480113897105666,0.22900454006290002
fixed,cond,host_type_2domestic,2.1959382678245887,0.8014477359895691,2.739964403434498,0.006144583886202213,enterococcus_faecalis,K07486,2.1959382678245887,0.8014477359895691,8.988430656868593,1.8684341091476548,43.24042537961958,0.048110784470689665
fixed,cond,host_type_2domestic,2.28403862228464,0.8982570741237454,2.5427449313580213,0.010998548549051603,enterococcus_faecalis,K07493,2.28403862228464,0.8982570741237454,9.816244567469779,1.6878486958597176,57.089629920470436,0.06575564830507212
