effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,-387.97461642362117,NA,NA,NA,lactococcus_lactis,K07455,-387.97461642362117,NA,3.1971644013035294e-169,NA,NA,NA
fixed,cond,host_type_2wild,0.4990216337946556,1.330455396863658,0.37507580860735473,0.7076040878223773,lactococcus_lactis,K07741,0.4990216337946556,1.330455396863658,1.6471090063479257,0.12139920559725222,22.34749449508635,0.9137322351445482
fixed,cond,host_type_2wild,0.5633031274035674,0.9177796143979129,0.6137673125079257,0.5393691003439449,lactococcus_lactis,K08217,0.5633031274035674,0.9177796143979129,1.7564647556187047,0.2906763247866322,10.613758929267151,0.8257351690832558
fixed,cond,host_type_2wild,1.9034937842363506,0.9712209713241032,1.9598977374234863,0.050007744137444854,lactococcus_lactis,K12063,1.9034937842363506,0.9712209713241032,6.70929436823117,0.9999006853731325,45.019101974893054,0.18730923906326472
fixed,cond,host_type_2wild,0.6670423666964457,0.9388223032882456,0.7105097145222427,0.4773881089219151,lactococcus_lactis,K18369,0.6670423666964457,0.9388223032882456,1.948465942270947,0.30942196604319594,12.269715614371762,0.7702912677292946
fixed,cond,host_type_2wild,-1.6016767283576914,1.1452439427391987,-1.3985463433465495,0.16194906621634209,lactococcus_lactis,K25142,-1.6016767283576914,1.1452439427391987,0.2015582760268092,0.021357445683930925,1.9021815265795434,0.40515953377959274
fixed,cond,host_type_2wild,-3.1462986899457936,1.4093701691810314,-2.232414704629424,0.025587566840983917,lactococcus_lactis,K00558,-3.1462986899457936,1.4093701691810314,0.04301102976809987,0.002715812188969469,0.6811769566489599,0.125378618834898
fixed,cond,host_type_2wild,-11.522709439449654,191.34531352788147,-0.06021944947071122,0.9519808553874275,lactococcus_lactis,K01160,-11.522709439449654,191.34531352788147,9.90263732882902e-6,1.3162301042896065e-168,7450234252106002e142,0.9998684398443228
fixed,cond,host_type_2wild,-11.522709439449654,191.34531352788147,-0.06021944947071122,0.9519808553874275,lactococcus_lactis,K03279,-11.522709439449654,191.34531352788147,9.90263732882902e-6,1.3162301042896065e-168,7450234252106002e142,0.9998684398443228
fixed,cond,host_type_2wild,-46.1361778853172,NA,NA,NA,lactococcus_lactis,K07497,-46.1361778853172,NA,9.189936875854373e-21,NA,NA,NA
fixed,cond,host_type_2wild,-19.924516089468828,18814.500153493573,-0.0010589978966711556,0.9991550420862568,lactococcus_lactis,K22299,-19.924516089468828,18814.500153493573,2.2227601790146263e-9,0,Inf,0.9998684398443228
fixed,cond,host_type_2wild,-46.1361778853172,NA,NA,NA,lactococcus_lactis,K02315,-46.1361778853172,NA,9.189936875854373e-21,NA,NA,NA
